experiment,contrast,cell_line,morphology,tissue,disease,drug,target,dose,time_hr
PRJNA379584,gsk461364.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gsk461364,Polo-like kinase 1 (PLK1),ED20 and 1/10 of it,6
PRJNA379584,gw.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gw,CB2 receptor partial agonist,ED20 and 1/10 of it,6
PRJNA379584,gw_405833.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gw_405833,CB2 receptor partial agonist,ED20 and 1/10 of it,24
PRJNA379584,gw_405833.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gw_405833,CB2 receptor partial agonist,ED20 and 1/10 of it,6
hh1,hh1_24hr,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",HH1,Cyclin-dependent kinase 9 (CDK9) ,10uM,24
hh1,hh1_25um_96hr,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",HH1,Cyclin-dependent kinase 9 (CDK9) ,25uM,96
hh1,hh1_2hr,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",HH1,Cyclin-dependent kinase 9 (CDK9) ,10uM,2
hh1,hh1_4hr,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",HH1,Cyclin-dependent kinase 9 (CDK9) ,10uM,4
hh1,hh1_8hr,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",HH1,Cyclin-dependent kinase 9 (CDK9) ,10uM,8
hh1,hh1_96hr,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",HH1,Cyclin-dependent kinase 9 (CDK9) ,10uM,96
PRJNA379584,hmn.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,hmn,Polo-like kinase 1 (PLK1),ED20 and 1/10 of it,6
PRJNA379584,hmn_214.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,hmn_214,Polo-like kinase 1 (PLK1),ED20 and 1/10 of it,24
PRJNA379584,hmn_214.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,hmn_214,Polo-like kinase 1 (PLK1),ED20 and 1/10 of it,6
PRJNA685849,Hypercin_150nM_irradiation_10hr,A375p,epithelial,skin,Malignant Melanoma,Hyp-PDT,Enzyme inhibitor; Immunosuppressive agent; Antiviral agent; Radiation-sensitizing agent; Antineoplastic agent,NA,10
PRJNA685849,Hypercin_150nM_irradiation_20hr,A375p,epithelial,skin,Malignant Melanoma,Hyp-PDT,Enzyme inhibitor; Immunosuppressive agent; Antiviral agent; Radiation-sensitizing agent; Antineoplastic agent,NA,20
PRJNA685849,Hypercin_150nM_irradiation_4hr,A375p,epithelial,skin,Malignant Melanoma,Hyp-PDT,Enzyme inhibitor; Immunosuppressive agent; Antiviral agent; Radiation-sensitizing agent; Antineoplastic agent,NA,4
PRJNA379584,ibrutinib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ibrutinib,Tyrosine-protein kinase BTK (ATK),ED20 and 1/10 of it,24
PRJNA379584,ibrutinib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ibrutinib,Tyrosine-protein kinase BTK (ATK),ED20 and 1/10 of it,6
PRJNA641077,iCRT3,HCT116,epithelial,large intestine; colon,Carcinoma,iCRT3,Wnt/β-catenin antagonist,20nM,48
PRJNA379584,imatinib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,imatinib,Fusion protein Bcr-Abl (Bcr-Abl); Mcl-1 messenger RNA (MCL-1 mRNA); Platelet-derived growth factor receptor (PDGFR); Tyrosine-protein kinase Kit (KIT),ED20 and 1/10 of it,24
PRJNA379584,imatinib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,imatinib,Fusion protein Bcr-Abl (Bcr-Abl); Mcl-1 messenger RNA (MCL-1 mRNA); Platelet-derived growth factor receptor (PDGFR); Tyrosine-protein kinase Kit (KIT),ED20 and 1/10 of it,6
PRJNA379584,inc280.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,inc280,Proto-oncogene c-Met (MET),ED20 and 1/10 of it,24
PRJNA379584,inc280.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,inc280,Proto-oncogene c-Met (MET),ED20 and 1/10 of it,6
PRJNA379584,istradefylline.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,istradefylline,Adenosine A2a receptor (ADORA2A),ED20 and 1/10 of it,24
PRJNA379584,istradefylline.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,istradefylline,Adenosine A2a receptor (ADORA2A),ED20 and 1/10 of it,6
PRJNA379584,jnj.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,jnj,HDM2 ubiquitin ligase antagonis,ED20 and 1/10 of it,6
PRJNA379584,jnj_26854165.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,jnj_26854165,HDM2 ubiquitin ligase antagonis,ED20 and 1/10 of it,24
PRJNA379584,jnj_26854165.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,jnj_26854165,HDM2 ubiquitin ligase antagonis,ED20 and 1/10 of it,6
PRJNA315414,MOLT4.JQ1.2,MOLT-4,lymphoblast,blood,Acute lymphoblastic leukemia ,JQ1,Bromodomain-containing protein 2 (BRD2),,2
PRJNA315414,MOLT4.JQ1.6,MOLT-4,lymphoblast,blood,Acute lymphoblastic leukemia ,JQ1,Bromodomain-containing protein 2 (BRD2),,6
PRJNA315414,primary_T_cell.JQ1.0,T-ALL,primary human cells,blood,Acute lymphoblastic leukemia ,JQ1,Bromodomain-containing protein 2 (BRD2),,
PRJNA315414,T_ALL_PDX.JQ1.0,T-ALL_PDX,primary human cells,blood,Acute lymphoblastic leukemia ,JQ1,Bromodomain-containing protein 2 (BRD2),,
PRJNA379584,khs101.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,khs101,Mitochondrial chaperone heat shock protein family D member 1 (HSPD1),ED20 and 1/10 of it,24
PRJNA379584,khs101.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,khs101,Mitochondrial chaperone heat shock protein family D member 1 (HSPD1),ED20 and 1/10 of it,6
PRJNA379584,ku.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ku,mTORC1 and mTORC2 inhibitor,ED20 and 1/10 of it,6
PRJNA379584,ku_0063794.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ku_0063794,mTORC1 and mTORC2 inhibitor,ED20 and 1/10 of it,24
PRJNA379584,ku_0063794.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ku_0063794,mTORC1 and mTORC2 inhibitor,ED20 and 1/10 of it,6
PRJNA379584,kw.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,kw,"Multikinase inhibitor of FLT3, ABL, ABL-T315I, and Aurora kinase",ED20 and 1/10 of it,6
PRJNA379584,kw_2449.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,kw_2449,"Multikinase inhibitor of FLT3, ABL, ABL-T315I, and Aurora kinase",ED20 and 1/10 of it,24
PRJNA379584,kw_2449.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,kw_2449,"Multikinase inhibitor of FLT3, ABL, ABL-T315I, and Aurora kinase",ED20 and 1/10 of it,6
PRJNA379584,kx2.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,kx2,Src tyrosine kinase signaling pathway (Src pathway); Tubulin polymerization (TubP),ED20 and 1/10 of it,24
PRJNA379584,kx2_391.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,kx2_391,Src tyrosine kinase signaling pathway (Src pathway); Tubulin polymerization (TubP),ED20 and 1/10 of it,24
PRJNA379584,kx2_391.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,kx2_391,Src tyrosine kinase signaling pathway (Src pathway); Tubulin polymerization (TubP),ED20 and 1/10 of it,6
PRJNA379584,ldk378.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ldk378,ALK tyrosine kinase receptor (ALK),ED20 and 1/10 of it,24
PRJNA379584,ldk378.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ldk378,ALK tyrosine kinase receptor (ALK),ED20 and 1/10 of it,6
PRJNA379584,lee011.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,lee011,Cyclin-dependent kinase 4 (CDK4); Cyclin-dependent kinase 6 (CDK6),ED20 and 1/10 of it,24
PRJNA379584,lee011.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,lee011,Cyclin-dependent kinase 4 (CDK4); Cyclin-dependent kinase 6 (CDK6),ED20 and 1/10 of it,6
PRJNA474537,LEN.24,OSU-CLL,EBV-transformed lymphoblastoid cell line,blood,Chronic lymphocytic leukemia,Lenalidomide,Tumor necrosis factor (TNF),1uM,24
PRJNA474537,LEN.5,OSU-CLL,EBV-transformed lymphoblastoid cell line,blood,Chronic lymphocytic leukemia,Lenalidomide,Tumor necrosis factor (TNF),1uM,5
PRJNA379584,leptomycin_b_in_ethanol.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,leptomycin_b_in_ethanol,CRM1 (exportin 1) inhibitor,ED20 and 1/10 of it,24
PRJNA379584,leptomycin_b_in_ethanol.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,leptomycin_b_in_ethanol,CRM1 (exportin 1) inhibitor,ED20 and 1/10 of it,6
PRJNA379584,linifanib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,linifanib,Vascular endothelial growth factor receptor 3 (FLT-4),ED20 and 1/10 of it,24
PRJNA379584,linifanib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,linifanib,Vascular endothelial growth factor receptor 3 (FLT-4),ED20 and 1/10 of it,6
PRJNA352461,LSD1i,BM MNC,patient-derived AML,blood,Acute myeloid leukemia,LSD1i,Lysine-specific demethylase 1 (LSD1/KDM1A),NA,NA
PRJNA352461,LSD1i_Azacitidine,BM MNC,patient-derived AML,blood,Acute myeloid leukemia,LSD1i_Azacitidine,Lysine-specific demethylase 1 (LSD1/KDM1A); DNA [cytosine-5]-methyltransferase (DNMT),NA,NA
PRJNA379584,ly.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ly,Endocannabinoid reuptake inhibitor; FAAH inhibitor,ED20 and 1/10 of it,6
PRJNA379584,ly_2183240.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ly_2183240,Endocannabinoid reuptake inhibitor; FAAH inhibitor,ED20 and 1/10 of it,24
PRJNA379584,ly_2183240.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ly_2183240,Endocannabinoid reuptake inhibitor; FAAH inhibitor,ED20 and 1/10 of it,6
PRJNA379584,manumycin_a.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,manumycin_a,CAAX farnesyltransferase beta (FNTB); Farnesyl protein transferase (Ftase),ED20 and 1/10 of it,24
PRJNA379584,manumycin_a.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,manumycin_a,CAAX farnesyltransferase beta (FNTB); Farnesyl protein transferase (Ftase),ED20 and 1/10 of it,6
PRJNA379584,methanol.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,methanol,Alcohol dehydrogenase (ADH),ED20 and 1/10 of it,24
PRJNA379584,methanol.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,methanol,Alcohol dehydrogenase (ADH),ED20 and 1/10 of it,6
PRJNA379584,methylstat.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,methylstat,Jumonji C domain-containing histone trimethyl demethylases (JHDMs) inhibitor,ED20 and 1/10 of it,24
PRJNA379584,methylstat.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,methylstat,Jumonji C domain-containing histone trimethyl demethylases (JHDMs) inhibitor,ED20 and 1/10 of it,6
PRJNA379584,mg.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mg,Proteasome inhibitor,ED20 and 1/10 of it,6
PRJNA379584,mg_132.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mg_132,Proteasome inhibitor,ED20 and 1/10 of it,24
PRJNA379584,mg_132.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mg_132,Proteasome inhibitor,ED20 and 1/10 of it,6
PRJNA379584,mithramycin_a.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mithramycin_a,RNA-binding protein Musashi-2 (MSI2),ED20 and 1/10 of it,24
PRJNA379584,mithramycin_a.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mithramycin_a,RNA-binding protein Musashi-2 (MSI2),ED20 and 1/10 of it,6
PRJNA636096,MCC,BLCA,epithelial,bladder,Bladder Carcinoma,Mitomycin C,Human Deoxyribonucleic acid (hDNA),30uM,48
PRJNA636096,MCC.5637,5637,epithelial,bladder,Bladder Carcinoma,Mitomycin C,Human Deoxyribonucleic acid (hDNA),30uM,48
PRJNA636096,MCC.CLS_439,CLS-439,epithelial,bladder,Bladder Carcinoma,Mitomycin C,Human Deoxyribonucleic acid (hDNA),30uM,48
PRJNA636096,MCC.T24,T24,epithelial,bladder,Transitional cell carcinoma,Mitomycin C,Human Deoxyribonucleic acid (hDNA),30uM,48
PRJNA636096,MCC.TCC_SUP,TCC-SUP,epithelial,bladder,Carcinoma,Mitomycin C,Human Deoxyribonucleic acid (hDNA),30uM,48
PRJNA379584,mitomycin_c.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,Mitomycin C,Human Deoxyribonucleic acid (hDNA),ED20 and 1/10 of it,24
PRJNA379584,mitomycin_c.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,Mitomycin C,Human Deoxyribonucleic acid (hDNA),ED20 and 1/10 of it,6
PRJNA685849,MTX_1um_10hr,A375p,epithelial,skin,Malignant Melanoma,Mitoxantrone,DNA topoisomerase II (TOP2),NA,10
PRJNA685849,MTX_1um_20hr,A375p,epithelial,skin,Malignant Melanoma,Mitoxantrone,DNA topoisomerase II (TOP2),NA,20
PRJNA685849,MTX_1um_4hr,A375p,epithelial,skin,Malignant Melanoma,Mitoxantrone,DNA topoisomerase II (TOP2),NA,4
PRJNA379584,mk.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mk,Wee1-like protein kinase (WEE1); PI3K/Akt inhibitor,ED20 and 1/10 of it,24
PRJNA379584,mk.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mk,Wee1-like protein kinase (WEE1); PI3K/Akt inhibitor,ED20 and 1/10 of it,6
PRJNA379584,mk_1775.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mk_1775,Wee1-like protein kinase (WEE1),ED20 and 1/10 of it,24
PRJNA379584,mk_1775.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mk_1775,Wee1-like protein kinase (WEE1),ED20 and 1/10 of it,6
PRJNA379584,mk_2206.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mk_2206,PI3K/Akt inhibitor,ED20 and 1/10 of it,24
PRJNA379584,mk_2206.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mk_2206,PI3K/Akt inhibitor,ED20 and 1/10 of it,6
PRJNA379584,ml210.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ml210,Glutathione peroxidase 4 (GPX4) inhibitor,ED20 and 1/10 of it,24
PRJNA379584,ml210.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ml210,Glutathione peroxidase 4 (GPX4) inhibitor,ED20 and 1/10 of it,6
PRJNA335388,bc_mms,MDA-MB231,epithelial,breast,Adenocarcinoma,MMS,Human Deoxyribonucleic acid (hDNA),40 ug/mL,72
PRJNA335388,mms.40ug_ml,Breast/Osteosarcoma,epithelial,breast + bone,,MMS,Human Deoxyribonucleic acid (hDNA),40 ug/mL,72
PRJNA335388,os_mms,U2OS,epithelial,bone,Osteosarcoma,MMS,Human Deoxyribonucleic acid (hDNA),40 ug/mL,72
PRJNA422779,G12V.MS275.1,CaCO-2et KRAS G12V,epithelial,large intestine; colon,Adenocarcinoma,MS-275,Histone deacetylase (HDAC); Histone deacetylase 1 (HDAC1),NA,1
PRJNA422779,G12V.MS275.24,CaCO-2et KRAS G12V,epithelial,large intestine; colon,Adenocarcinoma,MS-275,Histone deacetylase (HDAC); Histone deacetylase 1 (HDAC1),NA,24
PRJNA422779,G12V.MS275.6,CaCO-2et KRAS G12V,epithelial,large intestine; colon,Adenocarcinoma,MS-275,Histone deacetylase (HDAC); Histone deacetylase 1 (HDAC1),NA,6
PRJNA422779,G12V.MS275.72,CaCO-2et KRAS G12V,epithelial,large intestine; colon,Adenocarcinoma,MS-275,Histone deacetylase (HDAC); Histone deacetylase 1 (HDAC1),NA,72
PRJNA422779,WT.MS275.1,CaCO-2et KRAS WT,epithelial,large intestine; colon,Adenocarcinoma,MS-275,Histone deacetylase (HDAC); Histone deacetylase 1 (HDAC1),NA,1
PRJNA422779,WT.MS275.24,CaCO-2et KRAS WT,epithelial,large intestine; colon,Adenocarcinoma,MS-275,Histone deacetylase (HDAC); Histone deacetylase 1 (HDAC1),NA,24
PRJNA422779,WT.MS275.6,CaCO-2et KRAS WT,epithelial,large intestine; colon,Adenocarcinoma,MS-275,Histone deacetylase (HDAC); Histone deacetylase 1 (HDAC1),NA,6
PRJNA422779,WT.MS275.72,CaCO-2et KRAS WT,epithelial,large intestine; colon,Adenocarcinoma,MS-275,Histone deacetylase (HDAC); Histone deacetylase 1 (HDAC1),NA,72
PRJNA379584,mst.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mst,Telomerase Inhibitor,ED20 and 1/10 of it,6
PRJNA379584,mst_312.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mst_312,Telomerase Inhibitor,ED20 and 1/10 of it,24
PRJNA379584,mst_312.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,mst_312,Telomerase Inhibitor,ED20 and 1/10 of it,6
PRJNA379584,n_ilotinib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,n_ilotinib,Fusion protein Bcr-Abl (Bcr-Abl),ED20 and 1/10 of it,24
PRJNA379584,n_ilotinib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,n_ilotinib,Fusion protein Bcr-Abl (Bcr-Abl),ED20 and 1/10 of it,6
PRJNA392914,dtp,PC9,epithelial,lung,Carcinoma,,,,
PRJNA497893,hpv16,NOK,epithelial,skin,Carcinoma,,,,
PRJNA497893,hpv16_e2,NOK,epithelial,skin,Carcinoma,,,,
PRJNA471642,mec1_vs_gm12878,MEC1,lymphoblast,blood,Chronic lymphocytic leukemia,,,,
PRJNA379584,necrosulfonamide.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,necrosulfonamide,Blocks necrosis downstream of the activation of RIP3 ,ED20 and 1/10 of it,24
PRJNA379584,necrosulfonamide.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,necrosulfonamide,Blocks necrosis downstream of the activation of RIP3 ,ED20 and 1/10 of it,6
PRJNA379584,neratinib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,neratinib,Epidermal growth factor receptor (EGFR); Erbb2 tyrosine kinase receptor (HER2),ED20 and 1/10 of it,24
PRJNA379584,neratinib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,neratinib,Epidermal growth factor receptor (EGFR); Erbb2 tyrosine kinase receptor (HER2),ED20 and 1/10 of it,6
PRJNA379584,nutlin.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,nutlin,Cellular tumor antigen p53 (TP53); Mdm2 messenger RNA (MDM2 mRNA),ED20 and 1/10 of it,6
PRJNA379584,nutlin_3.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,nutlin_3,Cellular tumor antigen p53 (TP53); Mdm2 messenger RNA (MDM2 mRNA),ED20 and 1/10 of it,24
PRJNA379584,nutlin_3.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,nutlin_3,Cellular tumor antigen p53 (TP53); Mdm2 messenger RNA (MDM2 mRNA),ED20 and 1/10 of it,6
PRJNA391270,a549_nut,A459,epithelial,lung,Carcinoma,Nutlin3A,Cellular tumor antigen p53 (TP53); Mdm2 messenger RNA (MDM2 mRNA),5uM,NA
PRJNA391270,a549_tgfb_nut,A459,epithelial,lung,Carcinoma,Nutlin3A + TGFB,Cellular tumor antigen p53 (TP53); Mdm2 messenger RNA (MDM2 mRNA),5uM + 2.5ng/ml,120
PRJNA379584,nvp.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,nvp,Ceramide kinase (CERK),ED20 and 1/10 of it,6
PRJNA379584,nvp_231.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,nvp_231,Ceramide kinase (CERK),ED20 and 1/10 of it,24
PRJNA379584,nvp_231.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,nvp_231,Ceramide kinase (CERK),ED20 and 1/10 of it,6
PRJNA379584,obatoclax.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,obatoclax,Apoptosis regulator Bcl-2 (BCL-2); Apoptosis regulator Bcl-xL (BCL-xL); Induced myeloid leukemia cell differentiation protein Mcl-1 (MCL1),ED20 and 1/10 of it,24
PRJNA379584,obatoclax.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,obatoclax,Apoptosis regulator Bcl-2 (BCL-2); Apoptosis regulator Bcl-xL (BCL-xL); Induced myeloid leukemia cell differentiation protein Mcl-1 (MCL1),ED20 and 1/10 of it,6
PRJNA379584,pac.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,pac,Caspase-3 (CASP3),ED20 and 1/10 of it,24
PRJNA379584,pac_1.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,pac_1,Caspase-3 (CASP3),ED20 and 1/10 of it,24
PRJNA379584,pac_1.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,pac_1,Caspase-3 (CASP3),ED20 and 1/10 of it,6
PRJNA335388,bc_pac,MDA-MB231,epithelial,breast,Adenocarcinoma,Paclitaxel,Apoptosis regulator Bcl-2 (BCL-2); Tubulin beta (TUBB),0.2uM,72
PRJNA335388,os_pac,U2OS,epithelial,bone,Osteosarcoma,Paclitaxel,Apoptosis regulator Bcl-2 (BCL-2); Tubulin beta (TUBB),0.2uM,72
