id,experiment,contrast
PRJNA636096.TCC_SUP.Mitomycin_C_vs_TCC_SUP.No_Treatment,PRJNA636096,TCC_SUP.Mitomycin_C_vs_TCC_SUP.No_Treatment
PRJNA636096.MCC_vs_No_Treatment,PRJNA636096,MCC_vs_No_Treatment
PRJNA641077.iCRT3.50uM_vs_DMSO_48hr,PRJNA641077,iCRT3.50uM_vs_DMSO_48hr
PRJNA641077.siCTNNB1.20nM_vs_DMSO_48hr,PRJNA641077,siCTNNB1.20nM_vs_DMSO_48hr
PRJNA641077.siNeg.20nM_vs_DMSO_48hr,PRJNA641077,siNeg.20nM_vs_DMSO_48hr
PRJNA641077.GB1874.50uM_vs_DMSO_48hr,PRJNA641077,GB1874.50uM_vs_DMSO_48hr
PRJNA641077.GB6853.50uM_vs_DMSO_48hr,PRJNA641077,GB6853.50uM_vs_DMSO_48hr
PRJNA641077.GB8679.50uM_vs_DMSO_48hr,PRJNA641077,GB8679.50uM_vs_DMSO_48hr
PRJNA642730.NCH1681.Decitabine_NCH1681.DMSO,PRJNA642730,NCH1681.Decitabine_NCH1681.DMSO
PRJNA642730.NCH612.Decitabine_vs_NCH612.DMSO,PRJNA642730,NCH612.Decitabine_vs_NCH612.DMSO
PRJNA642730.SU_AO3.Decitabine_vs_SU_AO3.DMSO,PRJNA642730,SU_AO3.Decitabine_vs_SU_AO3.DMSO
PRJNA642730.TS603.Decitabine_vs_TS603.DMSO,PRJNA642730,TS603.Decitabine_vs_TS603.DMSO
PRJNA642730.Decitabine_vs_DMSO,PRJNA642730,Decitabine_vs_DMSO
PRJNA649431.PDX_TALL1.Decitabine_vs_PDX_TALL1.DMSO,PRJNA649431,PDX_TALL1.Decitabine_vs_PDX_TALL1.DMSO
PRJNA649431.PDX_TALL2.Decitabine_vs_PDX_TALL2.DMSO,PRJNA649431,PDX_TALL2.Decitabine_vs_PDX_TALL2.DMSO
PRJNA649431.PDX_TALL.Decitabine_vs_PDX_TALL.DMSO,PRJNA649431,PDX_TALL.Decitabine_vs_PDX_TALL.DMSO
PRJNA649432.Loucy.Decitabine_vs_Loucy.DMSO,PRJNA649432,Loucy.Decitabine_vs_Loucy.DMSO
PRJNA649432.MOLT_16.Decitabine_vs_MOLT_16.DMSO,PRJNA649432,MOLT_16.Decitabine_vs_MOLT_16.DMSO
PRJNA649432.PEER.Decitabine_vs_PEER.DMSO,PRJNA649432,PEER.Decitabine_vs_PEER.DMSO
PRJNA649432.PER_117.Decitabine_vs_PER_117.DMSO,PRJNA649432,PER_117.Decitabine_vs_PER_117.DMSO
PRJNA649432.TALL_1.Decitabine_vs_T_ALL.DMSO,PRJNA649432,TALL_1.Decitabine_vs_T_ALL.DMSO
PRJNA649432.Decitabine_vs_DMSO,PRJNA649432,Decitabine_vs_DMSO
PRJNA657045.CAR.Raij_vs_CAR.Control,PRJNA657045,CAR.Raij_vs_CAR.Control
PRJNA657045.Till_CAR.Decitabine.14d_vs_Till_CAR.Decitabine.7d,PRJNA657045,Till_CAR.Decitabine.14d_vs_Till_CAR.Decitabine.7d
PRJNA657045.Till_dCAR.Decitabine.14d_vs_Till_CAR.Decitabine.7d,PRJNA657045,Till_dCAR.Decitabine.14d_vs_Till_CAR.Decitabine.7d
PRJNA657045.dCAR.Decitabine_Raij_vs_dCAR.Decitabine,PRJNA657045,dCAR.Decitabine_Raij_vs_dCAR.Decitabine
PRJNA657067.Cotyledon_orbiculata_extract_vs_DMSO_48hr,PRJNA657067,Cotyledon_orbiculata_extract_vs_DMSO_48hr
PRJNA670855.SBI756_vs_Untreated_4hr,PRJNA670855,SBI756_vs_Untreated_4hr
PRJNA670901.HH.Azacitidine.125nM_vs_HH.Untreated,PRJNA670901,HH.Azacitidine.125nM_vs_HH.Untreated
PRJNA670901.HH.Azacitidine.250nM_vs_HH.Untreated,PRJNA670901,HH.Azacitidine.250nM_vs_HH.Untreated
PRJNA670901.HH.Azacitidine.50nM_vs_HH.Untreated,PRJNA670901,HH.Azacitidine.50nM_vs_HH.Untreated
PRJNA670901.HH.Decitabine.12.5nM_HH.Untreated,PRJNA670901,HH.Decitabine.12.5nM_HH.Untreated
PRJNA670901.HH.Decitabine.25nM_vs_HH.Untreated,PRJNA670901,HH.Decitabine.25nM_vs_HH.Untreated
PRJNA670901.HH.Decitabine.5nM_vs_HH.Untreated,PRJNA670901,HH.Decitabine.5nM_vs_HH.Untreated
PRJNA670901.PF382.Azacitidine.125nM_vs_PF382.Untreated,PRJNA670901,PF382.Azacitidine.125nM_vs_PF382.Untreated
PRJNA670901.PF382.Azacitidine.250nM_vs_PF382.Untreated,PRJNA670901,PF382.Azacitidine.250nM_vs_PF382.Untreated
PRJNA670901.PF382.Azacitidine.500nM_vs_PF382.Untreated,PRJNA670901,PF382.Azacitidine.500nM_vs_PF382.Untreated
PRJNA670901.PF382.Decitabine.12.5nM_vs_PF382.Untreated,PRJNA670901,PF382.Decitabine.12.5nM_vs_PF382.Untreated
PRJNA670901.PF382.Decitabine.25nM_vs_PF382.Untreated,PRJNA670901,PF382.Decitabine.25nM_vs_PF382.Untreated
PRJNA670901.PF382.Decitabine.5nM_vs_PF382.Untreated,PRJNA670901,PF382.Decitabine.5nM_vs_PF382.Untreated
PRJNA670901.TLOm1.Azacitidine.125nM_vs_TLOm1.Untreated,PRJNA670901,TLOm1.Azacitidine.125nM_vs_TLOm1.Untreated
PRJNA670901.TLOm1.Azacitidine.250nM_vs_TLOm1.Untreated,PRJNA670901,TLOm1.Azacitidine.250nM_vs_TLOm1.Untreated
PRJNA670901.TLOm1.Azacitidine.500nM_vs_TLOm1.Untreated,PRJNA670901,TLOm1.Azacitidine.500nM_vs_TLOm1.Untreated
PRJNA670901.TLOm1.Decitabine.12.5nM_vs_TLOm1.Untreated,PRJNA670901,TLOm1.Decitabine.12.5nM_vs_TLOm1.Untreated
PRJNA670901.TLOm1.Decitabine.25nM_vs_TLOm1.Untreated,PRJNA670901,TLOm1.Decitabine.25nM_vs_TLOm1.Untreated
PRJNA670901.TLOm1.Decitabine.5nM_vs_TLOm1.Untreated,PRJNA670901,TLOm1.Decitabine.5nM_vs_TLOm1.Untreated
PRJNA670901.HH.Azacitidine_vs_HH.untreated,PRJNA670901,HH.Azacitidine_vs_HH.untreated
PRJNA670901.HH.Decitabine_vs_HH.untreated,PRJNA670901,HH.Decitabine_vs_HH.untreated
PRJNA670901.PF382.azacitidine,PRJNA670901,PF382.azacitidine
PRJNA670901.PF382.Decitabine_vs_PF382.Untreated,PRJNA670901,PF382.Decitabine_vs_PF382.Untreated
PRJNA670901.TLOm1.Azacitidine_vs_TLOm1.Untreated,PRJNA670901,TLOm1.Azacitidine_vs_TLOm1.Untreated
PRJNA670901.TLOm1.Decitabine_vs_TLOm1.Untreated,PRJNA670901,TLOm1.Decitabine_vs_TLOm1.Untreated
PRJNA670901.Azacitidine.125nM_vs_Untreated,PRJNA670901,Azacitidine.125nM_vs_Untreated
PRJNA670901.Azacitidine.250nM_vs_Untreated,PRJNA670901,Azacitidine.250nM_vs_Untreated
PRJNA670901.Azacitidine.500nM_vs_Untreated,PRJNA670901,Azacitidine.500nM_vs_Untreated
PRJNA670901.Decitabine.12.5nM_vs_Untreated,PRJNA670901,Decitabine.12.5nM_vs_Untreated
PRJNA670901.Decitabine.25nM_vs_Untreated,PRJNA670901,Decitabine.25nM_vs_Untreated
PRJNA670901.Decitabine.5nM_vs_Untreated,PRJNA670901,Decitabine.5nM_vs_Untreated
PRJNA685849.Cisplatin.50uM_vs_Untreated_4hr,PRJNA685849,Cisplatin.50uM_vs_Untreated_4hr
PRJNA685849.Cisplatin.50uM_vs_Untreated_10hr,PRJNA685849,Cisplatin.50uM_vs_Untreated_10hr
PRJNA685849.Cisplatin.50uM_vs_Untreated_20hr,PRJNA685849,Cisplatin.50uM_vs_Untreated_20hr
PRJNA685849.Hypercin.150nM_irradiation_vs_Untreated_4hr,PRJNA685849,Hypercin.150nM_irradiation_vs_Untreated_4hr
PRJNA685849.Hypercin.150nM_irradiation_vs_Untreated_10hr,PRJNA685849,Hypercin.150nM_irradiation_vs_Untreated_10hr
PRJNA685849.Hypercin.150nM_irradiation_vs_Untreated_20hr,PRJNA685849,Hypercin.150nM_irradiation_vs_Untreated_20hr
PRJNA685849.Mitoxantrone.1um_4hr,PRJNA685849,Mitoxantrone.1um_4hr
PRJNA685849.Mitoxantrone.1um_10hr,PRJNA685849,Mitoxantrone.1um_10hr
PRJNA685849.Mitoxantrone.1um_20hr,PRJNA685849,Mitoxantrone.1um_20hr
proa.Decitabine_vs_DMSO,proa,Decitabine_vs_DMSO
proa.ProscillaridinA_vs_DMSO,proa,ProscillaridinA_vs_DMSO
proa.Decitabine_ProscillaridinA_vs_DMSO,proa,Decitabine_ProscillaridinA_vs_DMSO
tak.Decitabine_Depsipeptide_vs_DMSO,tak,Decitabine_Depsipeptide_vs_DMSO
tak.Decitabine_GSK343_vs_DMSO,tak,Decitabine_GSK343_vs_DMSO
tak.Decitabine_S2102_vs_DMSO,tak,Decitabine_S2102_vs_DMSO
tak.Decitabine_UNC0628_vs_DMSO,tak,Decitabine_UNC0628_vs_DMSO
tak.Decitabine_vs_DMSO,tak,Decitabine_vs_DMSO
tak.Depsipeptide_vs_DMSO,tak,Depsipeptide_vs_DMSO
tak.GSK343_vs_DMSO,tak,GSK343_vs_DMSO
tak.S2102_vs_DMSO,tak,S2102_vs_DMSO
tak.UNC0628_vs_DMSO,tak,UNC0628_vs_DMSO
toyo.Toyocamycin_vs_DMSO_2hr,toyo,Toyocamycin_vs_DMSO_2hr
toyo.Toyocamycin_vs_DMSO_10hr,toyo,Toyocamycin_vs_DMSO_10hr
toyo.Toyocamycin_vs_DMSO_24hr,toyo,Toyocamycin_vs_DMSO_24hr
toyo.Toyocamycin_vs_DMSO_48hr,toyo,Toyocamycin_vs_DMSO_48hr
toyo.Toyocamycin_vs_DMSO_72hr,toyo,Toyocamycin_vs_DMSO_72hr
