BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	culture condition	source_name	treatment	cell_line	group
SAMN13412961	SRR10545483	2020-01-08T16:18:15Z	2019-11-27T22:39:56Z	3982761	599628879	3982761	150	227		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545483/SRR10545483.1	SRX7228586		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729311	simple	9606	Homo sapiens	GSM4195223							no					GEO	SRA1003760		public	4EC8066E3996B2EBF46FF3A75C55C5BD	BBC69CF9E4485F6B3AA185C47C5E4AF3	13412961	PDAC9_VEH_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729311	GSM4195223	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC9	PDAC9.DMSO
SAMN13412960	SRR10545484	2020-01-08T16:18:15Z	2019-11-27T22:40:13Z	5258785	792507411	5258785	150	304		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054548/SRR10545484.1	SRX7228587		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729312	simple	9606	Homo sapiens	GSM4195224							no					GEO	SRA1003760		public	9F881D6B40730E6AB0354B50DA330A9D	E4FBE5E8F5F2359DC8DC0C3218389E81	13412960	PDAC9_VITD_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729312	GSM4195224	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC9	PDAC9.Calcitriol
SAMN13412959	SRR10545485	2020-01-08T16:18:15Z	2019-11-27T22:42:09Z	2999162	434024348	2999162	144	156		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054548/SRR10545485.1	SRX7228588		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729313	simple	9606	Homo sapiens	GSM4195225							no					GEO	SRA1003760		public	DF8E1BF36E8D6DD7BBD6E0F339E0F284	82A0867921A6805BC15B9EFDB0340873	13412959	CAPAN2_VEH	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729313	GSM4195225	3D tumorsphere	pancreatic ductal adenocarcinoma cell line	DMSO	CAPAN2	CAPAN2.DMSO
SAMN13412958	SRR10545486	2020-01-08T16:18:15Z	2019-11-27T22:46:59Z	5486997	822673996	5486997	149	299		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545486/SRR10545486.1	SRX7228589		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729314	simple	9606	Homo sapiens	GSM4195226							no					GEO	SRA1003760		public	364EC86EB1BFCA3E4E37D5E1635632BF	413D03E81B8AC4E1137FE31FD516E6C1	13412958	CAPAN2_VITD	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729314	GSM4195226	3D tumorsphere	pancreatic ductal adenocarcinoma cell line	Calcitriol	CAPAN2	CAPAN2.Calcitriol
SAMN13412957	SRR10545487	2020-01-08T16:18:15Z	2019-11-27T23:02:35Z	18902610	2819740830	18902610	149	1009		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545487/SRR10545487.1	SRX7228590		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729315	simple	9606	Homo sapiens	GSM4195227							no					GEO	SRA1003760		public	A2889CF5778EEB9A3F34F2A2B2F95DD6	A94D86BF01EF00519B1BA0978FEF588D	13412957	HPAFII_VEH	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729315	GSM4195227	3D tumorsphere	pancreatic ductal adenocarcinoma cell line	DMSO	HPAFII	HPAFII.DMSO
SAMN13412956	SRR10545488	2020-01-08T16:18:15Z	2019-11-27T22:53:41Z	11204831	1679959987	11204831	149	608		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545488/SRR10545488.1	SRX7228591		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729316	simple	9606	Homo sapiens	GSM4195228							no					GEO	SRA1003760		public	6CDE2985F56261EDF087493C9DAF958D	46F99BC1C470A05F0D467134C5530AA4	13412956	HPAFII_VITD	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729316	GSM4195228	3D tumorsphere	pancreatic ductal adenocarcinoma cell line	Calcitriol	HPAFII	HPAFII.Calcitriol
SAMN13412955	SRR10545489	2020-01-08T16:18:15Z	2019-11-27T22:41:35Z	2433000	365540357	2433000	150	131		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545489/SRR10545489.1	SRX7228592		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729317	simple	9606	Homo sapiens	GSM4195229							no					GEO	SRA1003760		public	24234FAD1C7A543171D13ABB365DF0C3	A05B1F4C2ADE506CFFA82E756FF1EC45	13412955	MIAPACA2_VEH	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729317	GSM4195229	3D tumorsphere	pancreatic ductal adenocarcinoma cell line	DMSO	MIAPACA2	MIAPACA2.DMSO
SAMN13412954	SRR10545490	2020-01-08T16:18:15Z	2019-11-28T01:36:16Z	22297902	3346313015	22297902	150	1218		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054549/SRR10545490.1	SRX7228593		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729318	simple	9606	Homo sapiens	GSM4195230							no					GEO	SRA1003760		public	78BBBDBB349D40E7E1025B6BD85B33EA	E8FA8425F827897A2AB7C4BA6E7FD6C5	13412954	MIAPACA2_VITD	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729318	GSM4195230	3D tumorsphere	pancreatic ductal adenocarcinoma cell line	Calcitriol	MIAPACA2	MIAPACA2.Calcitriol
SAMN13412972	SRR10545491	2020-01-08T16:18:15Z	2019-11-27T23:01:21Z	17564342	2636587669	17564342	150	951		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545491/SRR10545491.1	SRX7228594		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729319	simple	9606	Homo sapiens	GSM4195231							no					GEO	SRA1003760		public	169CD63F94C94E577FA2C6FF3DCADB94	5784AF413CED44F7A906407D5BCF29FD	13412972	PANC1_VEH	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729319	GSM4195231	3D tumorsphere	pancreatic ductal adenocarcinoma cell line	DMSO	PANC1	PANC1.DMSO
SAMN13412971	SRR10545492	2020-01-08T16:18:15Z	2019-11-28T04:36:12Z	35266565	5285611302	35266565	149	1892		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545492/SRR10545492.1	SRX7228595		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729320	simple	9606	Homo sapiens	GSM4195232							no					GEO	SRA1003760		public	A3E5EA863CBF702D3E5A011D4B645B49	C846DDBEA836B559A42E102D53B69E8F	13412971	PANC1_VITD	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729320	GSM4195232	3D tumorsphere	pancreatic ductal adenocarcinoma cell line	Calcitriol	PANC1	PANC1.Calcitriol
