accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug treatment	source_name
SAMN10760490	10760490	GTCGCG: MCF7_Ribociclib_0.3	Harvard Medical School	9606	SRS4257082	GSM3565680	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760491	10760491	GGTGCG: MCF7_Palbociclib_0.3	Harvard Medical School	9606	SRS4257081	GSM3565679	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760492	10760492	GGTCCC: Hs578T_Alvocidib_0.1	Harvard Medical School	9606	SRS4257080	GSM3565678	Hs578T	Hs578T breast cancer cell line	Alvocidib	Hs578T
SAMN10760493	10760493	GGGGTG: Hs578T_Ribociclib_0.3	Harvard Medical School	9606	SRS4257079	GSM3565677	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760494	10760494	GGGCTC: HCC1806_Alvocidib_0.1	Harvard Medical School	9606	SRS4257078	GSM3565676	HCC1806	HCC1806 breast cancer cell line	Alvocidib	HCC1806
SAMN10760495	10760495	GGGCGA: HCC1806_Ribociclib_0.3	Harvard Medical School	9606	SRS4257077	GSM3565675	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760496	10760496	GGGAGG: HCC1806_Palbociclib_0.3	Harvard Medical School	9606	SRS4257076	GSM3565674	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760497	10760497	GGGACC: PDX1258_Alvocidib_0.1	Harvard Medical School	9606	SRS4257075	GSM3565673	PDX1258	PDX1258 breast cancer PDX	Alvocidib	PDX1258
SAMN10760498	10760498	GGCGGA: PDX1258_Ribociclib_0.3	Harvard Medical School	9606	SRS4257074	GSM3565672	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
SAMN10760499	10760499	GGCGCT: PDX1258_Palbociclib_0.3	Harvard Medical School	9606	SRS4257073	GSM3565671	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760500	10760500	GGCAGC: BT549_Alvocidib_0.1	Harvard Medical School	9606	SRS4257072	GSM3565670	BT549	BT549 breast cancer cell line	Alvocidib	BT549
SAMN10760501	10760501	GGCACG: BT549_Ribociclib_0.3	Harvard Medical School	9606	SRS4257071	GSM3565669	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760502	10760502	GGACGC: BT549_Palbociclib_0.3	Harvard Medical School	9606	SRS4257070	GSM3565668	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760503	10760503	TGCCCC: T47D_DMSO_0.0	Harvard Medical School	9606	SRS4257069	GSM3565667	T47D	T47D breast cancer cell line	DMSO	T47D
SAMN10760504	10760504	TCGGGC: T47D_Ribociclib_0.1	Harvard Medical School	9606	SRS4257068	GSM3565666	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760505	10760505	TCCGGG: T47D_Palbociclib_0.1	Harvard Medical School	9606	SRS4257067	GSM3565665	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760506	10760506	TCCCGC: PDXHCI002_DMSO_0.0	Harvard Medical School	9606	SRS4257377	GSM3565664	PDXHCI002	PDXHCI002 breast cancer PDX	DMSO	PDXHCI002
SAMN10760507	10760507	GTGGCC: PDXHCI002_Ribociclib_0.1	Harvard Medical School	9606	SRS4257376	GSM3565663	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760508	10760508	GTGCGC: PDXHCI002_Palbociclib_0.1	Harvard Medical School	9606	SRS4257375	GSM3565662	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760509	10760509	GTCCCC: MCF7_DMSO_0.0	Harvard Medical School	9606	SRS4257374	GSM3565661	MCF7	MCF7 breast cancer cell line	DMSO	MCF7
SAMN10760510	10760510	GGTGGC: MCF7_Ribociclib_0.1	Harvard Medical School	9606	SRS4257373	GSM3565660	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760511	10760511	GGGTGC: MCF7_Palbociclib_0.1	Harvard Medical School	9606	SRS4257372	GSM3565659	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760512	10760512	GGGTCG: Hs578T_DMSO_0.0	Harvard Medical School	9606	SRS4257370	GSM3565658	Hs578T	Hs578T breast cancer cell line	DMSO	Hs578T
SAMN10760513	10760513	GGGGCA: Hs578T_Ribociclib_0.1	Harvard Medical School	9606	SRS4257371	GSM3565657	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760514	10760514	GGGGAC: Hs578T_Palbociclib_0.1	Harvard Medical School	9606	SRS4257369	GSM3565656	Hs578T	Hs578T breast cancer cell line	Palbociclib	Hs578T
SAMN10760515	10760515	GGGCCT: HCC1806_DMSO_0.0	Harvard Medical School	9606	SRS4257368	GSM3565655	HCC1806	HCC1806 breast cancer cell line	DMSO	HCC1806
SAMN10760516	10760516	GGGCAG: HCC1806_Ribociclib_0.1	Harvard Medical School	9606	SRS4257366	GSM3565654	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760517	10760517	GGCTCC: HCC1806_Palbociclib_0.1	Harvard Medical School	9606	SRS4257367	GSM3565653	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760518	10760518	GGCGTC: PDX1258_DMSO_0.0	Harvard Medical School	9606	SRS4257365	GSM3565652	PDX1258	PDX1258 breast cancer PDX	DMSO	PDX1258
SAMN10760519	10760519	GGCGAG: PDX1258_Ribociclib_0.1	Harvard Medical School	9606	SRS4257364	GSM3565651	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
SAMN10760520	10760520	CTCCGC: BT549_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257340	GSM3565627	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760521	10760521	CGTGCC: BT549_Palbociclib_0.3	Harvard Medical School	9606	SRS4257339	GSM3565626	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760522	10760522	GCGGAG: T47D_Ribociclib_1.0	Harvard Medical School	9606	SRS4257338	GSM3565625	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760523	10760523	GCGCTG: T47D_Alvocidib_1.0	Harvard Medical School	9606	SRS4257337	GSM3565624	T47D	T47D breast cancer cell line	Alvocidib	T47D
SAMN10760524	10760524	GCGCAC: T47D_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257336	GSM3565623	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760525	10760525	GCGAGC: PDXHCI002_Ribociclib_1.0	Harvard Medical School	9606	SRS4257335	GSM3565622	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760526	10760526	GCCTCG: PDXHCI002_Alvocidib_1.0	Harvard Medical School	9606	SRS4257334	GSM3565621	PDXHCI002	PDXHCI002 breast cancer PDX	Alvocidib	PDXHCI002
SAMN10760527	10760527	GCCGTG: PDXHCI002_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257333	GSM3565620	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
